OBJECTID,Country Name,Country Code,Indicator Name,Indicator Code,2014
158,Malaysia,MYS,CO2 emissions (kt),EN.ATM.CO2E.KT,242671.059
155,Maldives,MDV,CO2 emissions (kt),EN.ATM.CO2E.KT,1316.453
147,Mali,MLI,CO2 emissions (kt),EN.ATM.CO2E.KT,2981.271
153,Malta,MLT,CO2 emissions (kt),EN.ATM.CO2E.KT,2346.88
188,Marshall Islands,MHL,CO2 emissions (kt),EN.ATM.CO2E.KT,143.013
152,Mauritania,MRT,CO2 emissions (kt),EN.ATM.CO2E.KT,2933.6
150,Mauritius,MUS,CO2 emissions (kt),EN.ATM.CO2E.KT,4209.716
157,Mexico,MEX,CO2 emissions (kt),EN.ATM.CO2E.KT,481499.102
141,Moldova,MDA,CO2 emissions (kt),EN.ATM.CO2E.KT,4928.448
143,Mongolia,MNG,CO2 emissions (kt),EN.ATM.CO2E.KT,29633.027
156,Montenegro,MNE,CO2 emissions (kt),EN.ATM.CO2E.KT,2108.525
149,Morocco,MAR,CO2 emissions (kt),EN.ATM.CO2E.KT,59882.11
159,Mozambique,MOZ,CO2 emissions (kt),EN.ATM.CO2E.KT,8434.1
26,Myanmar,MMR,CO2 emissions (kt),EN.ATM.CO2E.KT,16347.486
242,Namibia,NAM,CO2 emissions (kt),EN.ATM.CO2E.KT,3740.34
169,Nauru,NRU,CO2 emissions (kt),EN.ATM.CO2E.KT,47.671
168,Nepal,NPL,CO2 emissions (kt),EN.ATM.CO2E.KT,8030.73
166,Netherlands,NLD,CO2 emissions (kt),EN.ATM.CO2E.KT,168883.685
173,New Zealand,NZL,CO2 emissions (kt),EN.ATM.CO2E.KT,34656.817
172,Nicaragua,NIC,CO2 emissions (kt),EN.ATM.CO2E.KT,4679.092
163,Niger,NER,CO2 emissions (kt),EN.ATM.CO2E.KT,2053.52
165,Nigeria,NGA,CO2 emissions (kt),EN.ATM.CO2E.KT,130130.829
167,Norway,NOR,CO2 emissions (kt),EN.ATM.CO2E.KT,47924.023
154,Oman,OMN,CO2 emissions (kt),EN.ATM.CO2E.KT,61220.565
179,Pakistan,PAK,CO2 emissions (kt),EN.ATM.CO2E.KT,182414.915
181,Panama,PAN,CO2 emissions (kt),EN.ATM.CO2E.KT,11107.343
183,Papua New Guinea,PNG,CO2 emissions (kt),EN.ATM.CO2E.KT,5874.534
174,Paraguay,PRY,CO2 emissions (kt),EN.ATM.CO2E.KT,5702.185
176,Peru,PER,CO2 emissions (kt),EN.ATM.CO2E.KT,51330.666
190,Philippines,PHL,CO2 emissions (kt),EN.ATM.CO2E.KT,104516.834
180,Poland,POL,CO2 emissions (kt),EN.ATM.CO2E.KT,285937.992
182,Portugal,PRT,CO2 emissions (kt),EN.ATM.CO2E.KT,44656.726
186,Qatar,QAT,CO2 emissions (kt),EN.ATM.CO2E.KT,107032.396
189,Romania,ROU,CO2 emissions (kt),EN.ATM.CO2E.KT,69489.65
192,Russian Federation,RUS,CO2 emissions (kt),EN.ATM.CO2E.KT,1736984.56
193,Rwanda,RWA,CO2 emissions (kt),EN.ATM.CO2E.KT,847.077
194,Saudi Arabia,SAU,CO2 emissions (kt),EN.ATM.CO2E.KT,601046.969
199,Senegal,SEN,CO2 emissions (kt),EN.ATM.CO2E.KT,9376.519
207,Serbia,SRB,CO2 emissions (kt),EN.ATM.CO2E.KT,37352.062
197,Seychelles,SYC,CO2 emissions (kt),EN.ATM.CO2E.KT,487.711
202,Sierra Leone,SLE,CO2 emissions (kt),EN.ATM.CO2E.KT,1309.119
204,Singapore,SGP,CO2 emissions (kt),EN.ATM.CO2E.KT,56644.149
133,Slovak Republic,SVK,CO2 emissions (kt),EN.ATM.CO2E.KT,30678.122
201,Slovenia,SVN,CO2 emissions (kt),EN.ATM.CO2E.KT,12482.468
29,Solomon Islands,SLB,CO2 emissions (kt),EN.ATM.CO2E.KT,194.351
205,Somalia,SOM,CO2 emissions (kt),EN.ATM.CO2E.KT,630.724
